YEAR,MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,FL_NUM,ORIGIN,DEST,ARR_DELAY,CANCELLED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY
2017,1,7,2017/1/1,AA,381,JFK,LAX,39,0,350,2475,0,0
2017,1,1,2017/1/2,AA,381,JFK,LAX,-15,0,362,2475,0,0
2017,1,2,2017/1/3,AA,381,JFK,LAX,15,0,384,2475,0,0
2017,1,3,2017/1/4,AA,381,JFK,LAX,11,0,374,2475,0,0
2017,1,4,2017/1/5,AA,381,JFK,LAX,30,0,362,2475,0,0
2017,1,5,2017/1/6,AA,381,JFK,LAX,2,0,352,2475,0,0
2017,1,6,2017/1/7,AA,381,JFK,LAX,133,0,357,2475,0,90
2017,1,7,2017/1/8,AA,381,JFK,LAX,26,0,356,2475,0,24
2017,1,7,2017/1/1,B6,1323,JFK,LAX,33,0,364,2475,17,0
2017,1,1,2017/1/2,B6,1323,JFK,LAX,138,0,367,2475,89,0
2017,1,2,2017/1/3,B6,1323,JFK,LAX,36,0,371,2475,14,0
2017,1,3,2017/1/4,B6,1323,JFK,LAX,10,0,365,2475,0,0
2017,1,4,2017/1/5,B6,1323,JFK,LAX,30,0,361,2475,0,0
2017,1,5,2017/1/6,B6,1323,JFK,LAX,-1,0,361,2475,0,0
2017,1,6,2017/1/7,B6,1323,JFK,LAX,97,0,348,2475,0,51
2017,1,7,2017/1/8,B6,1323,JFK,LAX,193,0,357,2475,18,0
2017,1,1,2017/1/9,B6,1323,JFK,LAX,18,0,360,2475,17,0
2017,1,2,2017/1/10,B6,1323,JFK,LAX,47,0,381,2475,11,0
2017,1,3,2017/1/11,B6,1323,JFK,LAX,10,0,372,2475,0,0
2017,1,4,2017/1/12,B6,1323,JFK,LAX,6,0,362,2475,0,0
2017,1,5,2017/1/13,B6,1323,JFK,LAX,21,0,344,2475,21,0
2017,1,6,2017/1/14,B6,1323,JFK,LAX,54,0,345,2475,46,0
